text,label
"Congratulations! You have been selected as the winner of our grand prize. Click here to claim your $1,000,000 now!",Spam
"URGENT: Your account has been compromised. Verify your identity immediately by clicking this link.",Spam
"You've won a FREE iPhone 15! Just enter your credit card details to cover shipping costs.",Spam
"Act NOW! Limited time offer â€” get a luxury watch for only $9.99. Don't miss out!",Spam
"Dear friend, I am a prince from a foreign country and I need your help to transfer $5,000,000.",Spam
"Free Viagra and weight loss pills â€” order now and get 80% off! No prescription needed.",Spam
"Claim your lottery winnings of $500,000 today. Send your bank details to process the transfer.",Spam
"WARNING: Your computer is infected with 47 viruses. Download our free antivirus now!",Spam
"Make $5000 per week working from home! No experience required. Sign up today!",Spam
"You have been chosen for a secret shopper program. Get paid $300 per assignment.",Spam
"Exclusive deal just for you: buy one get ten free on all supplements!",Spam
"Hot singles in your area are waiting to meet you. Click here to start chatting!",Spam
"Your email has won the Microsoft Lottery. Send your personal details to claim.",Spam
"Congratulations! You are our 1,000,000th visitor. Click to claim your prize.",Spam
"Get rich quick with our proven investment strategy. Guaranteed 500% returns!",Spam
"URGENT: We need to verify your PayPal account. Click this link immediately.",Spam
"You have unclaimed money in your name. Contact us with your SSN to retrieve it.",Spam
"Miracle cure discovered! Lose 30 pounds in 30 days without exercise or diet!",Spam
"Dear user, your subscription has been hacked. Send $200 in bitcoin to restore it.",Spam
"FREE GIFT CARD worth $500 â€” just complete a short survey to redeem!",Spam
"Double your bitcoin investment in 24 hours! Guaranteed profit, zero risk.",Spam
"Your phone number was randomly selected for a cash prize of $10,000. Reply NOW.",Spam
"You are eligible for a government grant of $25,000. No repayment needed. Apply here.",Spam
"FLASH SALE: Rolex watches at 95% off. Only 3 left in stock!",Spam
"Foreign lottery notification: You won â‚¬750,000. Send processing fee of $50.",Spam
"Your inheritance of $3.5 million is ready for transfer. Contact our legal department.",Spam
"Secret investment opportunity! Triple your money in one week. Limited spots available.",Spam
"FREE Netflix premium accounts! Share this message with 10 friends to unlock.",Spam
"We noticed suspicious activity on your bank account. Click here to verify your identity immediately.",Spam
"Cheap medications online! No doctor visit required. Overnight delivery available.",Spam
"We are pleased to inform you that your application for the Software Engineer position has been shortlisted.",Job Related
"Thank you for applying to Google. We would like to invite you for a technical interview next week.",Job Related
"Your resume has been reviewed by our HR team. We'd like to schedule a phone screening at your convenience.",Job Related
"Reminder: Your interview with Amazon Web Services is scheduled for Monday at 10 AM.",Job Related
"We are excited to extend a job offer for the position of Data Scientist at our company.",Job Related
"Hi, we saw your LinkedIn profile and think you'd be a great fit for our open ML Engineer role.",Job Related
"Your coding assessment for the Backend Developer position is due by Friday.",Job Related
"We regret to inform you that the position has been filled. We encourage you to apply for future openings.",Job Related
"Congratulations! You have successfully completed all interview rounds. HR will send the offer letter shortly.",Job Related
"Please find attached the job description for the Senior Developer role we discussed.",Job Related
"We'd like to invite you for an onsite interview at our headquarters in San Francisco.",Job Related
"Your application for the Product Manager internship has been received. We'll review it within 5 business days.",Job Related
"Hi, I'm a recruiter at Microsoft. I found your profile on GitHub and would love to discuss an opportunity.",Job Related
"The hiring committee has reviewed your portfolio. We are moving forward with your candidacy.",Job Related
"Please complete the background check form attached to proceed with your onboarding.",Job Related
"We are looking for a Full Stack Developer with React and Node.js experience. Are you interested?",Job Related
"Your referral for the DevOps Engineer position has been submitted successfully.",Job Related
"The salary range for this position is $120,000 to $150,000. Let us know if this aligns with your expectations.",Job Related
"We have an opening for a Junior Data Analyst in our Bangalore office. Would you like to apply?",Job Related
"Your technical assessment has been evaluated. You scored in the top 10% of all candidates.",Job Related
"Invitation to attend our virtual career fair on March 15th. Register now to meet our hiring managers.",Job Related
"Follow-up on your application: We need two professional references before proceeding.",Job Related
"Welcome aboard! Your start date is set for April 1st. Please review the attached onboarding documents.",Job Related
"We noticed you have 3 years of Python experience. We have a position that matches your skillset.",Job Related
"Hi, this is regarding the freelance web development project. Can you share your hourly rate?",Job Related
"Your probation period review is scheduled for next week. Please prepare your self-assessment.",Job Related
"The team lead position requires 5+ years of experience. Your profile matches our requirements.",Job Related
"Reminder: Submit your updated resume and cover letter by end of this week for the UX Designer role.",Job Related
"We appreciate your interest in our company. Unfortunately, we are not hiring at this time.",Job Related
"Your LinkedIn application for the Cloud Architect role at Netflix has been viewed by the recruiter.",Job Related
"Hi, your monthly bank statement for January is now available. Log in to your account to review.",Important
"Reminder: Your electricity bill of $142.50 is due on February 28th. Pay now to avoid late fees.",Important
"Your flight booking confirmation for Delhi to Mumbai on March 5th. Booking reference: AB1234.",Important
"ALERT: Unusual login detected on your Google account from a new device in London.",Important
"Your health insurance policy renewal is due on March 15th. Please review the updated terms.",Important
"University notice: Final exam schedule for Spring 2026 semester has been published.",Important
"Your tax return for FY 2025â€“26 has been successfully filed. Keep this email for your records.",Important
"Reminder: Your passport expires on April 30th. Schedule a renewal appointment at the nearest office.",Important
"Your package from Amazon (Order #1234567) has been delivered to your front door.",Important
"Board meeting scheduled for March 10th at 3 PM. Please review the agenda attached.",Important
"Your credit card payment of $850 was successfully processed. Transaction ID: TXN98765.",Important
"Emergency maintenance: The office building water supply will be shut off tomorrow from 9 AM to 12 PM.",Important
"Your child's parent-teacher conference is scheduled for Thursday at 4:30 PM.",Important
"Notice: Your rental lease agreement expires on May 31st. Contact us to discuss renewal.",Important
"Hospital appointment reminder: Dr. Sharma on March 8th at 11 AM. Please arrive 15 minutes early.",Important
"Your home loan EMI of $1,200 has been debited from your account. Balance remaining: $145,000.",Important
"Government notification: Your Aadhaar card update request has been processed successfully.",Important
"Traffic fine notice: A penalty of $50 has been issued for overspeeding on Highway 101.",Important
"Your subscription to cloud hosting is expiring. Renew by March 1st to avoid service disruption.",Important
"Urgent team update: The project deadline has been moved from March 20th to March 15th.",Important
"Your two-factor authentication recovery codes have been updated. Save them in a secure location.",Important
"Court summons: You are required to appear at the district court on April 5th at 10 AM.",Important
"Insurance claim #5678 has been approved. The reimbursement of $3,200 will be processed in 5 business days.",Important
"University registration for the Fall 2026 semester opens on March 20th. Secure your courses early.",Important
"Your vehicle registration renewal certificate is ready for pickup at the RTO office.",Important
"Salary credit: $4,500 has been deposited into your account. Pay slip attached.",Important
"System outage alert: Our internal services will undergo maintenance from 2 AM to 5 AM tonight.",Important
"Your annual performance review meeting has been scheduled for next Friday at 2 PM.",Important
"Your mortgage application has been pre-approved. Please submit the remaining documents by March 10th.",Important
"Weather alert: Heavy rainfall and flooding expected in your area. Stay safe and avoid travel.",Important
"ðŸŽ‰ Flash Sale! Up to 70% off on electronics â€” this weekend only at TechMart!",Promotion
"New collection alert! Check out our latest spring fashion arrivals. Shop now and get free shipping.",Promotion
"Your exclusive 20% discount code: SAVE20. Valid until March 31st. Don't miss out!",Promotion
"Introducing our brand new loyalty rewards program â€” earn points on every purchase!",Promotion
"Big savings this Black Friday! Doorbusters start at just $5. Shop early for the best deals.",Promotion
"Subscribe to our premium plan and get the first month FREE. Cancel anytime.",Promotion
"Clearance event: Last chance to grab winter styles at up to 80% off before they're gone!",Promotion
"We miss you! Come back and enjoy 15% off your next order. Use code: COMEBACK15.",Promotion
"New product launch: The all-new SmartWatch X is here. Pre-order today and save $50.",Promotion
"Join our newsletter for exclusive deals, early access to sales, and insider tips!",Promotion
"Happy holidays! Enjoy free gift wrapping on all orders placed this week.",Promotion
"Upgrade your workspace: 30% off all office furniture this month at HomeDeco.",Promotion
"You've earned a $10 reward! Redeem it on your next purchase before it expires.",Promotion
"Try our new gourmet coffee blend â€” order now and get a free sampler pack!",Promotion
"Summer is coming! Stock up on outdoor essentials with our buy-2-get-1-free offer.",Promotion
"Exclusive for members: Early access to our annual mega sale starts tonight at midnight!",Promotion
"Download our app today and get a $5 welcome bonus. Available on iOS and Android.",Promotion
"Weekend special: Free pizza delivery on orders over $25. Use code: FREESHIP.",Promotion
"Earn double reward points on all grocery purchases this month. Shop smart, save more!",Promotion
"Book your dream vacation now! Early bird discounts of up to 40% on all-inclusive packages.",Promotion
"Back to school sale! Supplies, backpacks, and electronics starting at $3.99.",Promotion
"We added 500+ new titles to our streaming library this month. Start watching now!",Promotion
"New skincare line just dropped! Dermatologist-approved and cruelty-free. Shop the collection.",Promotion
"Flash deal: Noise-cancelling headphones for just $49.99 â€” today only!",Promotion
"Refer a friend and you both get $20 off your next purchase!",Promotion
"Your cart is waiting! Complete your purchase now and get an extra 10% off.",Promotion
"Limited edition sneakers are selling out fast. Grab your pair before they're gone!",Promotion
"Spring cleaning? Our storage solutions are on sale â€” save up to 50% this week.",Promotion
"Happy Birthday! Here's a special 25% discount just for you. Celebrate in style!",Promotion
"Meal kit delivery: Try 3 free meals with your first order. No commitment required.",Promotion
